1.2371 1.3209 0.0838 0.067548
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0 6.4483e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4419e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4419e+02 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 6.4356e+02 
1.0 6.1423e+02 3.0400e-03 0.0000e+00 0.0000e+00 3.0400e-03 6.1360e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.1359e+02 -1.8126e-01 0.0000e+00 0.0000e+00 1.8126e-01 6.1296e+02 
2.0 5.6056e+02 2.3989e-02 0.0000e+00 0.0000e+00 2.3989e-02 5.5993e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5993e+02 -6.6046e-01 0.0000e+00 0.0000e+00 6.6046e-01 5.5931e+02 
3.0 5.0373e+02 6.5179e-02 0.0000e+00 0.0000e+00 6.5179e-02 5.0311e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0311e+02 -1.2935e+00 0.0000e+00 0.0000e+00 1.2935e+00 5.0250e+02 
4.0 4.4828e+02 1.1702e-01 0.0000e+00 0.0000e+00 1.1702e-01 4.4767e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4766e+02 -1.9439e+00 0.0000e+00 0.0000e+00 1.9439e+00 4.4707e+02 
5.0 3.9690e+02 1.6692e-01 0.0000e+00 0.0000e+00 1.6692e-01 3.9631e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9628e+02 -2.5226e+00 0.0000e+00 0.0000e+00 2.5226e+00 3.9572e+02 
6.0 3.5076e+02 2.0395e-01 0.0000e+00 0.0000e+00 2.0395e-01 3.5018e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5014e+02 -2.9839e+00 0.0000e+00 0.0000e+00 2.9839e+00 3.4960e+02 
7.0 3.1008e+02 2.2121e-01 0.0000e+00 0.0000e+00 2.2121e-01 3.0952e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0946e+02 -3.3138e+00 0.0000e+00 0.0000e+00 3.3138e+00 3.0895e+02 
8.0 2.7463e+02 2.1635e-01 0.0000e+00 0.0000e+00 2.1635e-01 2.7409e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7400e+02 -3.5197e+00 0.0000e+00 0.0000e+00 3.5197e+00 2.7352e+02 
9.0 2.4391e+02 1.9052e-01 0.0000e+00 0.0000e+00 1.9052e-01 2.4337e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4327e+02 -3.6206e+00 0.0000e+00 0.0000e+00 3.6206e+00 2.4281e+02 
10.0 2.1734e+02 1.4688e-01 0.0000e+00 0.0000e+00 1.4688e-01 2.1682e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1670e+02 -3.6387e+00 0.0000e+00 0.0000e+00 3.6387e+00 2.1626e+02 
11.0 1.9439e+02 8.9359e-02 0.0000e+00 0.0000e+00 8.9359e-02 1.9389e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9374e+02 -3.5952e+00 0.0000e+00 0.0000e+00 3.5952e+00 1.9332e+02 
12.0 1.7455e+02 2.1815e-02 0.0000e+00 0.0000e+00 2.1815e-02 1.7406e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7389e+02 -3.5083e+00 0.0000e+00 0.0000e+00 3.5083e+00 1.7349e+02 
