1.0559 1.2733 0.2174
theta s11 s12 s13 s14 s21 s22 s23 s24 s31 s32 s33 s34 s41 s42 s43 s44
0.0000e+00 1.4084e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4079e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4079e+03 0.0000e+00 0.0000e+00 0.0000e+00 -0.0000e+00 1.4075e+03
1.0000e+00 1.2591e+03 -1.0881e-03 0.0000e+00 0.0000e+00 -1.0881e-03 1.2586e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2586e+03 -1.1937e+00 0.0000e+00 0.0000e+00 1.1937e+00 1.2582e+03
2.0000e+00 9.7658e+02 2.2620e-02 0.0000e+00 0.0000e+00 2.2620e-02 9.7615e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.7614e+02 -3.6197e+00 0.0000e+00 0.0000e+00 3.6197e+00 9.7571e+02
3.0000e+00 7.2185e+02 6.2063e-02 0.0000e+00 0.0000e+00 6.2063e-02 7.2145e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2139e+02 -5.7604e+00 0.0000e+00 0.0000e+00 5.7604e+00 7.2099e+02
4.0000e+00 5.2944e+02 8.3957e-02 0.0000e+00 0.0000e+00 8.3957e-02 5.2905e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2892e+02 -7.0578e+00 0.0000e+00 0.0000e+00 7.0578e+00 5.2855e+02
5.0000e+00 3.9180e+02 7.4964e-02 0.0000e+00 0.0000e+00 7.4964e-02 3.9143e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9123e+02 -7.5721e+00 0.0000e+00 0.0000e+00 7.5721e+00 3.9088e+02
6.0000e+00 2.9486e+02 3.6723e-02 0.0000e+00 0.0000e+00 3.6723e-02 2.9451e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9425e+02 -7.5333e+00 0.0000e+00 0.0000e+00 7.5333e+00 2.9392e+02
7.0000e+00 2.2639e+02 -2.4456e-02 0.0000e+00 0.0000e+00 -2.4456e-02 2.2606e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2573e+02 -7.1482e+00 0.0000e+00 0.0000e+00 7.1482e+00 2.2542e+02
8.0000e+00 1.7782e+02 -1.0028e-01 0.0000e+00 0.0000e+00 -1.0028e-01 1.7750e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7712e+02 -6.5742e+00 0.0000e+00 0.0000e+00 6.5742e+00 1.7683e+02
9.0000e+00 1.4299e+02 -1.8232e-01 0.0000e+00 0.0000e+00 -1.8232e-01 1.4267e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4225e+02 -5.9227e+00 0.0000e+00 0.0000e+00 5.9227e+00 1.4198e+02
1.0000e+01 1.1780e+02 -2.6375e-01 0.0000e+00 0.0000e+00 -2.6375e-01 1.1748e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1703e+02 -5.2670e+00 0.0000e+00 0.0000e+00 5.2670e+00 1.1678e+02
1.1000e+01 9.9092e+01 -3.3999e-01 0.0000e+00 0.0000e+00 -3.3999e-01 9.8785e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.8315e+01 -4.6512e+00 0.0000e+00 0.0000e+00 4.6512e+00 9.8073e+01
1.2000e+01 8.5087e+01 -4.0868e-01 0.0000e+00 0.0000e+00 -4.0868e-01 8.4785e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.4300e+01 -4.0980e+00 0.0000e+00 0.0000e+00 4.0980e+00 8.4069e+01
1.3000e+01 7.4406e+01 -4.6711e-01 0.0000e+00 0.0000e+00 -4.6711e-01 7.4106e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.3598e+01 -3.6318e+00 0.0000e+00 0.0000e+00 3.6318e+00 7.3379e+01
1.4000e+01 6.5994e+01 -5.2066e-01 0.0000e+00 0.0000e+00 -5.2066e-01 6.5696e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5189e+01 -3.2046e+00 0.0000e+00 0.0000e+00 3.2046e+00 6.4982e+01
1.5000e+01 5.9395e+01 -5.6506e-01 0.0000e+00 0.0000e+00 -5.6506e-01 5.9100e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8602e+01 -2.8545e+00 0.0000e+00 0.0000e+00 2.8545e+00 5.8404e+01
1.6000e+01 5.4070e+01 -6.0316e-01 0.0000e+00 0.0000e+00 -6.0316e-01 5.3778e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3293e+01 -2.5571e+00 0.0000e+00 0.0000e+00 2.5571e+00 5.3105e+01
1.7000e+01 4.9620e+01 -6.3607e-01 0.0000e+00 0.0000e+00 -6.3607e-01 4.9328e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8851e+01 -2.3042e+00 0.0000e+00 0.0000e+00 2.3042e+00 4.8672e+01
1.8000e+01 4.5794e+01 -6.6483e-01 0.0000e+00 0.0000e+00 -6.6483e-01 4.5502e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5027e+01 -2.0884e+00 0.0000e+00 0.0000e+00 2.0884e+00 4.4857e+01
1.9000e+01 4.2459e+01 -6.9048e-01 0.0000e+00 0.0000e+00 -6.9048e-01 4.2169e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1841e+01 -1.9032e+00 0.0000e+00 0.0000e+00 1.9032e+00 4.1682e+01
2.0000e+01 3.9542e+01 -7.1407e-01 0.0000e+00 0.0000e+00 -7.1407e-01 3.9253e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9053e+01 -1.7432e+00 0.0000e+00 0.0000e+00 1.7432e+00 3.8904e+01
2.1000e+01 3.6980e+01 -7.3645e-01 0.0000e+00 0.0000e+00 -7.3645e-01 3.6692e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6604e+01 -1.6046e+00 0.0000e+00 0.0000e+00 1.6046e+00 3.6463e+01
2.2000e+01 3.4712e+01 -7.5826e-01 0.0000e+00 0.0000e+00 -7.5826e-01 3.4425e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4436e+01 -1.4842e+00 0.0000e+00 0.0000e+00 1.4842e+00 3.4302e+01
2.3000e+01 3.2685e+01 -7.7979e-01 0.0000e+00 0.0000e+00 -7.7979e-01 3.2398e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2497e+01 -1.3789e+00 0.0000e+00 0.0000e+00 1.3789e+00 3.2370e+01
2.4000e+01 3.0857e+01 -8.0115e-01 0.0000e+00 0.0000e+00 -8.0115e-01 3.0571e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0748e+01 -1.2859e+00 0.0000e+00 0.0000e+00 1.2859e+00 3.0627e+01
2.5000e+01 2.9198e+01 -8.2235e-01 0.0000e+00 0.0000e+00 -8.2235e-01 2.8913e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9160e+01 -1.2031e+00 0.0000e+00 0.0000e+00 1.2031e+00 2.9046e+01
2.6000e+01 2.7685e+01 -8.4327e-01 0.0000e+00 0.0000e+00 -8.4327e-01 2.7401e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7712e+01 -1.1286e+00 0.0000e+00 0.0000e+00 1.1286e+00 2.7602e+01
2.7000e+01 2.6297e+01 -8.6388e-01 0.0000e+00 0.0000e+00 -8.6388e-01 2.6012e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6381e+01 -1.0612e+00 0.0000e+00 0.0000e+00 1.0612e+00 2.6276e+01
2.8000e+01 2.5013e+01 -8.8414e-01 0.0000e+00 0.0000e+00 -8.8414e-01 2.4730e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5151e+01 -1.0000e+00 0.0000e+00 0.0000e+00 1.0000e+00 2.5050e+01
2.9000e+01 2.3818e+01 -9.0402e-01 0.0000e+00 0.0000e+00 -9.0402e-01 2.3535e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4003e+01 -9.4417e-01 0.0000e+00 0.0000e+00 9.4417e-01 2.3907e+01
3.0000e+01 2.2699e+01 -9.2351e-01 0.0000e+00 0.0000e+00 -9.2351e-01 2.2417e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2928e+01 -8.9295e-01 0.0000e+00 0.0000e+00 8.9295e-01 2.2835e+01
3.1000e+01 2.1646e+01 -9.4260e-01 0.0000e+00 0.0000e+00 -9.4260e-01 2.1364e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1804e+01 -8.4585e-01 0.0000e+00 0.0000e+00 8.4585e-01 2.1717e+01
3.2000e+01 2.0652e+01 -9.6109e-01 0.0000e+00 0.0000e+00 -9.6109e-01 2.0371e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0748e+01 -8.0248e-01 0.0000e+00 0.0000e+00 8.0248e-01 2.0666e+01
3.3000e+01 1.9713e+01 -9.7892e-01 0.0000e+00 0.0000e+00 -9.7892e-01 1.9433e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9753e+01 -7.6245e-01 0.0000e+00 0.0000e+00 7.6245e-01 1.9676e+01
3.4000e+01 1.8823e+01 -9.9597e-01 0.0000e+00 0.0000e+00 -9.9597e-01 1.8543e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8813e+01 -7.2540e-01 0.0000e+00 0.0000e+00 7.2540e-01 1.8741e+01
3.5000e+01 1.7980e+01 -1.0121e+00 0.0000e+00 0.0000e+00 -1.0121e+00 1.7700e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7922e+01 -6.9085e-01 0.0000e+00 0.0000e+00 6.9085e-01 1.7856e+01
3.6000e+01 1.7178e+01 -1.0273e+00 0.0000e+00 0.0000e+00 -1.0273e+00 1.6899e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7078e+01 -6.5834e-01 0.0000e+00 0.0000e+00 6.5834e-01 1.7016e+01
3.7000e+01 1.6417e+01 -1.0416e+00 0.0000e+00 0.0000e+00 -1.0416e+00 1.6139e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6276e+01 -6.2744e-01 0.0000e+00 0.0000e+00 6.2744e-01 1.6219e+01
3.8000e+01 1.5695e+01 -1.0554e+00 0.0000e+00 0.0000e+00 -1.0554e+00 1.5417e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5515e+01 -5.9782e-01 0.0000e+00 0.0000e+00 5.9782e-01 1.5462e+01
3.9000e+01 1.5010e+01 -1.0687e+00 0.0000e+00 0.0000e+00 -1.0687e+00 1.4733e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4791e+01 -5.6939e-01 0.0000e+00 0.0000e+00 5.6939e-01 1.4743e+01
4.0000e+01 1.4360e+01 -1.0816e+00 0.0000e+00 0.0000e+00 -1.0816e+00 1.4085e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4103e+01 -5.4219e-01 0.0000e+00 0.0000e+00 5.4219e-01 1.4059e+01
